releaser,releaserUrl,platform
东方卫视,https://id.tudou.com/i/UMjg1MDA3OTI=/videos?,new_tudou
东方看大剧,https://id.tudou.com/i/UNDU2NzgxODMwMA==/videos?,new_tudou
东方卫视春晚官方,https://id.tudou.com/i/UMjg4ODAyNTczMg==/videos?,new_tudou
Gamefy每日游报,https://id.tudou.com/i/UNTc4NTc2ODg4/videos?,new_tudou
东方财经浦东,https://id.tudou.com/i/UMzE2MDgyMzA1Ng==/videos?,new_tudou
酱紫娱乐,http://v.qq.com/vplus/17834b2858bccb12e370ba49c9e883e0#uin=17834b2858bccb12e370ba49c9e883e0,腾讯视频
交叉点看,http://v.qq.com/vplus/3b3f74ac90c97d436790f8db904e73a1#uin=3b3f74ac90c97d436790f8db904e73a1,腾讯视频
上海纪实卫视,http://v.qq.com/vplus/docutv/videos,腾讯视频
极速汽车频道,http://v.qq.com/vplus/max_channel,腾讯视频
第一财经,http://v.qq.com/vplus/yicai/videos,腾讯视频
看看新闻Knews,http://v.qq.com/vplus/859914b1945ca85ff120dc8a37aa61aa#uin=859914b1945ca85ff120dc8a37aa61aa,腾讯视频
BesTV百视通,http://v.qq.com/vplus/19a543224b50a716f893016a79843b0d#uin=19a543224b50a716f893016a79843b0d,腾讯视频
看看新闻,https://www.toutiao.com/c/user/5839829632/#mid=5839829632,toutiao
动感101TV,http://v.qq.com/vplus/shfm1017,腾讯视频
SMG金色频道,http://v.qq.com/vplus/jsjk,腾讯视频
可凡倾听,http://v.qq.com/vplus/d294890c45f6cc49bcfe344f11a106c5#uin=d294890c45f6cc49bcfe344f11a106c5,腾讯视频
五星体育,https://www.toutiao.com/c/user/59555029070/#mid=1566453892346881,toutiao
SMG摄界,http://v.qq.com/vplus/Smgshootworld,腾讯视频
东方财经浦东频道,http://www.toutiao.com/c/user/53586272587/#mid=1560477803318273,toutiao
东方卫视电视剧,http://v.qq.com/vplus/dfws_drama/videos,腾讯视频
酱紫娱乐,https://www.toutiao.com/c/user/52528117850/#mid=52529256609,toutiao
Knews环球交叉点,http://www.toutiao.com/c/user/50590890693/#mid=50592112825,toutiao
东方卫视,http://www.toutiao.com/c/user/4344053306/#mid=4344053306,toutiao
Knews交叉点评,http://www.toutiao.com/c/user/58368304438/#mid=1562470237212674,toutiao
游戏风云GameFY,https://www.toutiao.com/c/user/6646873498/#mid=6646873498,toutiao
动感101TV,http://www.toutiao.com/c/user/5922021767/#mid=5926160250,toutiao
百视通大体育,https://www.toutiao.com/c/user/52691745907/#mid=1553047148858370,toutiao
我爱问老外,http://v.qq.com/vplus/ce9cb1a7efd09d72abe3c6c6aff3832c#uin=ce9cb1a7efd09d72abe3c6c6aff3832c,腾讯视频
百视通育乐园,https://www.toutiao.com/c/user/59467192131/#mid=1568272349748225,toutiao
我爱问老外,https://www.toutiao.com/c/user/52880211002/#mid=1560746726732801,toutiao
话匣子FM,https://www.toutiao.com/c/user/5410612557/#mid=5410680816,toutiao
极限挑战官方,https://id.tudou.com/i/UMzA5ODU3MTE5Ng==/videos?,new_tudou
百视通大娱乐,https://www.toutiao.com/c/user/52691925932/#mid=1553047696827393,toutiao
